Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
DRB01,OUT019,1304.838382
NCC43,OUT027,5351.137058
FDX13,OUT019,1986.28906
FDM22,OUT049,1030.646977
FDJ03,OUT027,2240.427727
FDU14,OUT018,3631.844811
FDB33,OUT010,684.715524
FDP27,OUT046,2970.916636
FDO38,OUT010,653.2601653
FDE28,OUT027,5056.095655
FDO27,OUT035,1631.301866
DRL23,OUT027,3176.106444
FDS28,OUT046,938.4029851
FDX24,OUT013,1552.65309
FDZ02,OUT035,1688.89163
FDL46,OUT045,1860.954739
FDS60,OUT027,4320.408098
NCO06,OUT017,629.5053808
FDO16,OUT035,1511.218774
FDC60,OUT049,1528.292668
FDA48,OUT018,3201.922473
FDZ36,OUT027,4482.944998
FDK27,OUT045,1882.935322
FDW23,OUT018,415.9155335
FDM14,OUT018,1541.302576
FDM14,OUT013,1784.669793
FDW60,OUT018,2617.663711
FDE21,OUT013,1927.136737
NCM42,OUT035,1906.156893
FDY59,OUT010,348.3993025
DRI49,OUT049,1411.768662
FDT28,OUT019,424.0672086
FDQ22,OUT018,451.3959197
FDR60,OUT049,1305.946848
FDC50,OUT019,489.9264246
FDV24,OUT013,2418.773511
DRF48,OUT010,1157.144176
FDQ47,OUT046,671.9080621
DRN36,OUT049,1907.43495
NCY06,OUT035,2197.160399
FDE52,OUT035,1592.089874
NCB54,OUT045,1964.126411
NCF31,OUT035,2564.030176
FDJ08,OUT027,4457.505179
NCC07,OUT017,1796.224565
NCD19,OUT027,2357.339198
FDL46,OUT049,2044.872894
FDM20,OUT045,3867.614668
NCI06,OUT010,928.1694287
DRM11,OUT035,4196.285436
NCH07,OUT018,2216.052413
FDS23,OUT013,2064.751887
FDO49,OUT018,595.6921963
FDS35,OUT049,1174.87262
DRK39,OUT045,1243.236823
DRI39,OUT049,982.0069968
FDV04,OUT017,2529.994995
NCN14,OUT035,3042.049187
FDH08,OUT013,3689.531369
FDS20,OUT046,2952.737161
FDV40,OUT049,1312.743634
FDZ48,OUT010,117.1700907
FDS24,OUT027,2929.728389
FDK44,OUT049,2855.063364
FDS48,OUT045,2412.635411
FDK26,OUT010,1092.300041
FDD23,OUT045,3025.345217
NCH54,OUT017,2588.40702
NCP14,OUT010,265.4129812
FDM60,OUT010,1170.039341
FDV24,OUT017,2483.548834
FDH08,OUT018,3381.454719
FDS12,OUT027,3464.196761
FDR39,OUT027,4262.963141
FDP12,OUT027,2151.314093
DRF60,OUT027,5227.72605
FDC09,OUT035,1896.839895
FDF50,OUT018,3024.409553
FDG28,OUT035,3981.901707
NCE19,OUT017,969.9819432
NCM53,OUT010,186.0473121
NCN18,OUT049,1876.282975
FDF32,OUT035,3333.850393
FDF11,OUT013,3872.282581
DRI59,OUT049,3615.405698
NCG54,OUT035,2814.522782
FDM44,OUT046,1710.805971
FDT57,OUT018,3483.941211
FDV24,OUT046,2429.318793
FDI50,OUT019,1709.5614
FDS09,OUT035,1047.822739
NCC31,OUT027,3907.439766
FDQ07,OUT019,1547.696474
FDC22,OUT017,3107.54604
FDZ56,OUT046,2764.687288
FDZ40,OUT019,1055.522006
FDS46,OUT027,3396.597421
DRD24,OUT045,2272.33592
FDV45,OUT017,3093.417746
FDL26,OUT045,2446.007366
FDA56,OUT018,1758.572141
FDN27,OUT046,1908.859031
FDM20,OUT049,3975.90008
FDO16,OUT017,1405.774494
FDL03,OUT035,3265.272817
FDE58,OUT046,1927.948328
FDI02,OUT027,3267.923054
NCC55,OUT019,1318.202319
FDR03,OUT018,3003.689706
FDB14,OUT017,1609.885926
FDR45,OUT013,3788.875628
NCN07,OUT017,2182.497649
FDM51,OUT019,265.3852401
FDT52,OUT027,5295.209241
FDL26,OUT046,2490.189889
NCZ42,OUT046,3784.544577
DRI47,OUT019,390.511839
FDW40,OUT013,2227.476171
FDN34,OUT046,2782.731743
FDS01,OUT035,3010.809026
NCG55,OUT045,1820.495109
FDC11,OUT035,1604.017621
FDX35,OUT018,3343.716468
NCB06,OUT046,2541.895158
FDR09,OUT019,2135.894463
FDC53,OUT017,1630.159824
FDY45,OUT013,4061.503346
FDA22,OUT010,783.4647206
FDE02,OUT035,1676.962262
FDW21,OUT045,1646.757212
FDV34,OUT046,1298.359817
FDS59,OUT049,1919.114701
NCW17,OUT017,2125.383895
NCK54,OUT046,1902.792572
FDG17,OUT019,1908.83066
FDG35,OUT017,2944.525145
FDD08,OUT010,1210.396919
NCO07,OUT017,3432.540912
FDJ10,OUT010,266.8295977
FDW36,OUT017,1785.188138
FDW21,OUT010,203.4940567
FDY19,OUT017,2023.94661
DRE03,OUT013,772.3625052
NCC55,OUT049,726.4272305
FDH52,OUT010,861.1939926
FDO09,OUT017,4242.665247
FDU43,OUT045,3794.347539
FDX09,OUT010,858.9510043
FDH40,OUT019,609.8767857
FDW58,OUT017,1811.968346
FDC47,OUT017,3642.290756
NCR41,OUT035,1657.798014
DRG49,OUT035,4049.168314
FDC52,OUT027,3864.327066
FDY13,OUT046,1275.72161
FDY35,OUT013,853.6498364
FDI35,OUT017,3020.539256
NCU18,OUT049,2326.420081
FDY33,OUT018,2276.854105
FDC15,OUT027,3834.32547
FDU01,OUT049,3112.898817
NCU42,OUT046,2709.982393
NCV29,OUT018,2537.412677
NCY30,OUT017,2979.133442
FDQ46,OUT049,1873.99821
FDG58,OUT027,3923.082974
FDK33,OUT017,3482.557588
NCD07,OUT045,1795.117437
NCX29,OUT027,3709.988435
NCT42,OUT013,2357.033097
DRN59,OUT035,919.8245216
FDI44,OUT035,1467.66102
FDA45,OUT049,2883.623904
FDP31,OUT045,1069.660807
FDY01,OUT046,1861.725699
FDT09,OUT018,1923.264299
DRH03,OUT027,2954.341196
FDA36,OUT018,2731.446995
NCF31,OUT017,2498.533505
FDG14,OUT049,2532.478221
FDG28,OUT027,5303.556192
FDU14,OUT049,3973.055626
FDY47,OUT019,225.3080291
FDI56,OUT049,1564.433595
DRD01,OUT013,1035.364942
FDM22,OUT046,1019.270671
FDH33,OUT013,715.5924007
DRZ24,OUT013,1945.734713
NCQ38,OUT046,1754.961564
FDO16,OUT027,2803.54927
FDU07,OUT027,3857.479568
NCB07,OUT013,3058.97532
FDU48,OUT045,2107.611593
NCM43,OUT045,2605.126148
FDR31,OUT010,446.4894744
DRK49,OUT018,512.1534173
NCI30,OUT010,1920.169374
DRD60,OUT017,3016.208991
NCG19,OUT046,3675.088622
FDH12,OUT035,1832.49031
FDM32,OUT035,1706.626445
FDM27,OUT035,2584.220318
NCU53,OUT027,4082.401346
NCQ18,OUT046,1577.869604
FDS10,OUT013,2874.126086
FDB33,OUT027,4005.548727
FDI12,OUT013,1438.155405
NCW42,OUT013,3481.925513
NCC06,OUT018,1795.797944
FDW02,OUT017,2063.16957
NCD43,OUT017,1759.256636
FDM57,OUT018,1120.208205
FDA58,OUT017,3791.10719
FDK56,OUT046,2950.021231
FDP52,OUT045,3623.647879
FDW20,OUT018,1749.600806
FDS52,OUT049,1691.991598
NCT29,OUT018,1627.427405
NCL54,OUT013,2772.54174
FDC05,OUT045,3061.481609
FDF34,OUT035,3323.966364
FDP03,OUT027,3437.181906
FDD32,OUT010,475.5883203
FDZ10,OUT045,2046.852724
FDZ40,OUT035,1033.473538
FDD51,OUT018,391.8417494
NCY30,OUT019,911.5198897
FDP58,OUT017,3456.099984
FDV49,OUT017,4251.270113
FDY24,OUT019,1063.432178
NCO55,OUT017,1795.855536
FDR13,OUT017,2003.732236
FDS51,OUT017,1091.035693
FDP26,OUT045,1542.526989
NCB54,OUT027,3495.124537
FDF32,OUT017,3225.174569
FDN31,OUT018,2748.47869
DRM48,OUT017,743.7032738
FDN20,OUT049,2823.157676
DRL01,OUT046,3816.487001
FDV56,OUT049,1902.365487
DRH13,OUT027,3258.352982
FDA03,OUT017,2380.169339
FDF47,OUT027,5011.007425
FDX32,OUT046,2403.80685
FDX57,OUT049,1701.24794
NCA30,OUT045,2895.639775
FDO49,OUT013,871.456379
FDL04,OUT019,327.4017183
DRM48,OUT035,840.182807
FDR16,OUT013,3313.481313
NCC19,OUT018,2733.135927
NCE42,OUT045,3677.763908
FDY24,OUT017,1012.080851
FDH19,OUT049,2852.275343
FDJ46,OUT013,2771.343834
FDN45,OUT010,1592.187695
FDY08,OUT035,2392.816713
FDZ37,OUT035,1621.057744
NCT30,OUT045,701.2780369
DRY23,OUT018,511.7690097
NCZ30,OUT018,1674.385676
FDC44,OUT018,1537.092488
FDB45,OUT035,1906.15426
FDY04,OUT013,2601.963874
FDM27,OUT046,2514.418138
FDZ43,OUT017,3932.375856
FDT39,OUT019,494.9411485
NCC06,OUT019,66.39715204
FDL15,OUT027,3864.087544
FDL57,OUT017,4162.779145
FDU08,OUT046,1668.425048
FDK40,OUT017,4196.712485
FDQ12,OUT010,1735.786279
FDS48,OUT017,2530.021303
FDP09,OUT045,3335.704799
FDW21,OUT049,1745.792305
FDY25,OUT035,3045.443888
DRE13,OUT017,1536.017744
FDV43,OUT019,1188.587597
FDD22,OUT045,1746.118308
FDM46,OUT019,509.559014
NCO30,OUT010,1033.463982
FDM25,OUT046,2795.379384
NCN41,OUT049,2037.353301
FDU24,OUT045,1482.457416
FDZ50,OUT046,2891.711572
FDP45,OUT013,4015.313784
NCM54,OUT045,1969.796197
FDW10,OUT019,839.2928407
FDP20,OUT017,2173.782085
FDK32,OUT046,2500.660943
FDN52,OUT049,1464.682249
FDM58,OUT045,1821.124466
FDZ46,OUT027,3240.763297
NCA18,OUT018,1593.815736
FDD35,OUT046,2049.888167
NCK31,OUT035,1013.314482
FDI40,OUT027,3033.268978
FDT50,OUT019,431.8875541
NCT06,OUT046,2637.138158
FDT31,OUT035,3191.6691
FDT45,OUT049,997.0493003
FDT13,OUT045,2951.323033
FDO50,OUT045,1442.966897
NCU18,OUT010,315.917711
NCR54,OUT049,3137.664981
NCO18,OUT018,2554.408501
FDU09,OUT045,933.9716721
FDT13,OUT018,2732.249443
FDE09,OUT046,1877.5915
NCK53,OUT019,314.5339531
FDG45,OUT049,3503.727572
DRH15,OUT035,836.6954851
FDO21,OUT019,1670.288312
FDD14,OUT027,4291.661963
FDC09,OUT046,1766.190798
FDH45,OUT027,2231.932452
FDV32,OUT046,1117.078539
FDG12,OUT035,2142.78787
FDS32,OUT013,2324.401496
NCL55,OUT018,3681.031843
DRE01,OUT035,3985.03228
DRE15,OUT049,1308.271346
NCL42,OUT045,3837.948684
FDP31,OUT013,1091.085021
FDN33,OUT018,1253.163055
FDZ59,OUT046,2669.22649
FDE45,OUT010,953.7432105
FDJ07,OUT013,1888.2854
FDQ45,OUT018,2712.405224
FDM33,OUT027,4900.962714
FDO15,OUT010,632.8132533
FDM46,OUT013,1464.691825
FDR03,OUT045,3227.374902
FDY49,OUT018,2442.098304
FDQ60,OUT045,1889.534012
FDW10,OUT049,2926.907843
FDO51,OUT049,845.5784336
FDJ40,OUT018,1482.309191
FDS20,OUT018,2647.872461
FDU45,OUT013,1871.25691
FDV02,OUT035,2786.27654
FDN09,OUT046,3860.74851
NCM55,OUT027,4403.014447
FDN23,OUT018,2088.274934
FDY31,OUT010,432.8714213
FDW03,OUT010,184.5138028
FDD14,OUT046,2895.218729
FDV23,OUT017,2103.567054
DRI03,OUT045,2690.637602
FDN13,OUT035,1715.721381
FDF45,OUT027,2531.515559
FDU46,OUT035,1642.028345
FDB57,OUT049,3678.23767
FDV12,OUT049,1787.095689
FDQ58,OUT013,2437.989191
NCA18,OUT017,1920.694957
FDH52,OUT049,1122.119591
FDM24,OUT018,2161.38766
NCP43,OUT027,4335.414008
NCO18,OUT019,864.4275774
FDM32,OUT017,1591.300639
NCL07,OUT017,759.6320892
FDK03,OUT013,3944.409792
FDP59,OUT017,1807.517733
FDQ24,OUT049,4083.638444
FDQ16,OUT018,1477.049989
FDU44,OUT013,2618.938854
FDH28,OUT010,1291.819662
FDV28,OUT019,1409.973521
FDM22,OUT045,916.1989558
FDR56,OUT046,3167.896048
FDV39,OUT049,3184.20284
FDU37,OUT019,622.8819344
FDQ11,OUT010,2216.132826
FDX02,OUT045,3422.980984
NCS42,OUT018,1207.523922
FDY57,OUT027,2995.643147
FDB21,OUT049,3871.110399
FDE28,OUT017,3647.222464
FDQ55,OUT017,1985.844593
FDA48,OUT049,3591.013398
FDZ19,OUT045,2729.839132
NCC43,OUT045,3881.483236
NCV18,OUT046,1315.771514
NCA42,OUT018,2249.061584
FDY45,OUT046,4085.562707
NCC30,OUT045,2791.149234
FDM57,OUT013,1429.964721
FDL09,OUT010,722.4599151
FDB09,OUT027,3482.299707
FDT44,OUT035,2080.249395
NCT06,OUT027,4047.531954
FDX26,OUT049,2917.41233
FDK32,OUT013,2452.306227
DRA12,OUT046,2367.330999
FDO46,OUT010,1128.04853
FDE52,OUT013,1396.949216
NCH42,OUT045,3566.18064
FDV08,OUT035,922.0433446
FDB47,OUT018,3056.743911
FDC28,OUT010,178.3580417
FDD22,OUT046,1844.243175
FDS07,OUT027,3314.637132
DRI13,OUT045,3455.188041
FDG32,OUT018,3229.359293
FDU14,OUT017,3967.955676
FDD28,OUT019,991.8145754
NCP41,OUT017,1842.710631
FDS08,OUT049,2883.815312
FDX47,OUT045,2531.951995
FDC53,OUT019,312.3776086
FDQ19,OUT035,4024.978479
FDL14,OUT045,2468.940713
FDM33,OUT019,1501.078144
FDA51,OUT045,1690.731405
FDZ27,OUT018,512.9982318
FDT04,OUT046,652.6456298
DRC13,OUT049,2176.296039
FDR16,OUT027,4802.227497
FDQ03,OUT027,5151.055182
FDE38,OUT035,2828.497198
DRH23,OUT027,2330.341068
FDT11,OUT019,1118.975905
FDD09,OUT035,3053.483633
FDR40,OUT045,1312.955767
FDX07,OUT017,3069.369069
FDR07,OUT035,1761.927769
FDA51,OUT017,1826.036406
FDT59,OUT019,1756.447926
FDF20,OUT017,3206.132625
FDR13,OUT045,1855.863573
FDY26,OUT049,3392.037151
FDW04,OUT017,2142.127895
FDK52,OUT017,3609.518065
FDN60,OUT049,2596.030183
FDM09,OUT019,786.4886276
FDP46,OUT049,1523.89762
FDB50,OUT019,713.553263
NCQ29,OUT049,4100.2439
FDP16,OUT027,5277.460807
FDX33,OUT018,2301.012557
FDP07,OUT010,1227.737865
FDN22,OUT046,3981.977906
FDF39,OUT049,4192.707958
FDS21,OUT017,1159.372314
NCM42,OUT013,1691.907062
FDK50,OUT019,691.5874786
DRF13,OUT027,3859.613914
FDH35,OUT018,2396.722195
FDP60,OUT018,1377.631116
DRJ49,OUT027,3608.778555
NCT42,OUT019,430.9032213
FDE38,OUT049,2755.817011
FDI04,OUT049,3207.176524
NCH54,OUT045,2442.779498
FDT56,OUT049,1107.971425
DRD15,OUT018,3327.173648
FDV58,OUT013,3119.894525
FDP21,OUT049,3095.09644
FDH05,OUT013,3646.150085
FDR10,OUT027,4050.877147
NCP06,OUT045,2337.604056
FDF33,OUT049,2102.996854
DRK37,OUT013,3059.312752
DRH49,OUT045,1426.337323
FDT58,OUT013,2657.537261
FDD41,OUT018,1386.856038
FDP40,OUT018,1502.790453
FDM51,OUT027,3103.459754
FDO45,OUT010,450.5427778
FDW33,OUT010,223.4995212
FDY24,OUT045,944.8649697
FDB10,OUT010,1821.705618
FDM40,OUT035,2325.998175
NCI06,OUT017,2926.268741
FDW12,OUT019,423.5480242
FDX48,OUT027,3978.459596
NCW05,OUT027,3106.622522
FDX27,OUT017,1571.852207
DRM37,OUT045,3130.445603
FDA38,OUT045,3673.083598
FDR36,OUT046,738.2165025
FDZ45,OUT046,3175.414398
FDG05,OUT017,2570.968231
FDK28,OUT013,4015.952508
FDV47,OUT045,1400.786131
FDN21,OUT045,2518.995279
FDP20,OUT027,3707.131784
FDI35,OUT045,2900.421134
DRY23,OUT013,746.8462618
FDA56,OUT017,2099.351966
FDB09,OUT013,2018.668252
NCO26,OUT027,3306.064119
FDQ49,OUT018,2259.798771
FDI52,OUT027,3351.457159
FDZ44,OUT027,3378.514933
FDZ09,OUT018,2338.306494
FDY03,OUT049,1897.502198
NCG42,OUT017,2124.556981
DRI13,OUT027,4959.558911
FDQ32,OUT013,2092.223117
FDW16,OUT035,1639.646827
FDU27,OUT046,774.8755657
FDR28,OUT010,687.0373215
FDQ49,OUT010,640.6390974
FDS37,OUT046,1909.971865
FDW26,OUT018,3149.837811
FDX12,OUT018,3603.684918
NCP06,OUT013,2405.072107
FDW45,OUT010,432.3117229
NCN30,OUT049,1624.260006
FDN24,OUT049,982.9066961
NCL41,OUT027,2013.957122
FDR02,OUT019,206.9205982
FDD09,OUT010,1010.819182
FDS33,OUT010,424.9979349
FDU22,OUT045,1873.132347
FDI53,OUT013,2534.223411
DRH01,OUT049,2912.469282
FDX32,OUT013,2330.101155
NCP30,OUT018,426.0805439
FDB60,OUT045,3091.624825
FDB14,OUT049,1628.985661
NCP02,OUT035,1108.531541
FDJ10,OUT017,2315.431393
FDG34,OUT046,1873.663628
NCB18,OUT017,1506.684925
FDM16,OUT049,1303.195318
FDW25,OUT018,1118.422686
FDB35,OUT010,355.3731057
DRN11,OUT013,2212.070001
FDF41,OUT019,1860.353641
FDH16,OUT045,1356.023211
NCQ50,OUT018,3084.185055
DRH23,OUT018,617.7138169
DRJ37,OUT013,2475.187372
DRJ24,OUT027,4402.20762
FDY16,OUT035,3040.286269
FDQ27,OUT045,1649.087085
FDZ33,OUT045,2310.290642
FDF29,OUT045,2071.077202
FDA08,OUT049,2740.414307
FDG31,OUT046,1101.066721
FDE34,OUT019,1205.351295
NCR30,OUT027,2637.573803
FDV33,OUT035,4262.496199
DRZ24,OUT018,1740.607304
NCL54,OUT035,2875.238011
FDR12,OUT049,2894.934795
NCC54,OUT046,3790.501357
DRN59,OUT013,800.5407785
FDX50,OUT019,238.8329946
FDV31,OUT027,4284.613771
NCA29,OUT027,4184.425834
FDW60,OUT049,2954.259018
FDX08,OUT017,3016.533855
DRD49,OUT013,3724.736519
FDD33,OUT046,3674.237379
FDW35,OUT013,790.9974518
FDJ36,OUT017,1765.855957
FDV51,OUT035,2779.989371
FDW36,OUT046,1769.342206
FDH35,OUT046,2709.301859
NCS30,OUT027,3507.986385
FDN49,OUT017,736.9202763
FDL08,OUT018,3634.866131
FDI09,OUT013,4074.211196
FDP19,OUT018,1779.861145
FDU21,OUT010,1305.279061
NCP41,OUT045,1693.279425
FDY10,OUT013,1840.799275
FDP12,OUT018,428.6889028
NCN26,OUT049,1943.667499
FDK44,OUT013,2747.479143
FDC28,OUT049,1801.056087
FDJ41,OUT027,5560.827466
NCT29,OUT035,2107.638437
NCH42,OUT019,1654.305079
FDU60,OUT018,2449.314277
FDS02,OUT045,2933.774072
FDC51,OUT046,1988.295812
FDU03,OUT013,2882.807943
FDX39,OUT045,3299.073886
NCY05,OUT010,1296.912624
NCL06,OUT027,5505.241255
FDD32,OUT035,1562.544077
NCN41,OUT045,1909.038742
NCX53,OUT049,2346.473143
FDU57,OUT019,459.7796848
FDQ23,OUT046,1751.163577
FDQ52,OUT045,3809.380461
FDC14,OUT045,704.592044
FDY09,OUT035,2989.216909
FDQ28,OUT045,2437.188469
FDV25,OUT046,3487.168399
FDJ07,OUT035,2004.867223
DRB25,OUT049,1846.584757
FDK52,OUT019,1552.766204
FDY52,OUT027,2485.788999
FDB28,OUT046,3065.267083
FDT36,OUT035,790.8718758
FDV25,OUT017,3586.853545
NCN07,OUT027,3552.155474
FDC57,OUT017,3205.738319
FDQ03,OUT018,3445.41723
FDU23,OUT017,2784.07965
NCX41,OUT035,3510.301297
NCD06,OUT035,914.3679498
FDW08,OUT045,1638.082933
NCU29,OUT017,2344.5235
NCE06,OUT013,2519.471281
FDV52,OUT010,73.72855884
FDB02,OUT017,2927.36181
NCR18,OUT045,699.8421107
FDK16,OUT049,1602.564435
NCQ29,OUT010,2081.621265
FDZ01,OUT019,187.2414652
FDW27,OUT035,2594.434848
FDD17,OUT018,3443.017454
FDW39,OUT013,2802.41175
DRH59,OUT045,1131.344751
FDS52,OUT013,1632.64933
FDU40,OUT027,4506.104425
NCF54,OUT013,2750.677849
FDH46,OUT045,1662.259128
NCP14,OUT049,1708.977104
FDH50,OUT049,3086.992593
DRF15,OUT010,491.9561356
FDV27,OUT027,2877.65981
NCJ06,OUT049,2015.165381
FDN02,OUT018,2983.673081
FDQ51,OUT049,889.685747
FDQ07,OUT017,3637.462281
FDS45,OUT049,1769.148107
NCJ06,OUT045,1903.79997
FDD36,OUT035,2085.562348
FDY25,OUT045,2870.650249
FDU52,OUT046,2442.971111
DRK47,OUT017,3594.213656
NCL30,OUT017,2126.266924
FDN22,OUT035,4123.420553
NCF30,OUT027,3419.058801
FDK03,OUT035,4141.077141
FDT45,OUT017,1021.17316
NCC54,OUT027,5172.512453
FDP08,OUT018,2864.447231
FDU44,OUT046,2678.797141
DRG39,OUT035,995.6622272
FDU32,OUT049,2084.717626
FDY27,OUT049,2872.512146
NCP54,OUT013,1974.385909
NCZ41,OUT049,2090.298898
DRL49,OUT013,2350.600472
FDI05,OUT018,939.7300557
FDY56,OUT045,3589.064258
DRC13,OUT013,2100.039974
NCV29,OUT017,2912.071874
FDR24,OUT049,1593.127519
FDZ34,OUT018,2797.52731
FDP37,OUT035,2134.859366
FDX08,OUT027,4363.760129
FDS57,OUT045,2208.385835
NCG18,OUT049,1741.639611
FDK25,OUT018,2382.654411
FDH53,OUT049,1428.832219
DRI59,OUT018,3229.486412
FDA52,OUT046,2794.053082
FDT20,OUT010,1205.454872
FDE36,OUT019,711.6090976
FDI24,OUT017,2832.309815
FDB28,OUT018,2794.214293
FDV11,OUT017,2930.662176
FDP01,OUT046,2504.379243
FDD34,OUT027,4050.606142
FDJ50,OUT027,2357.910012
FDZ44,OUT013,1916.778074
DRO59,OUT035,1381.301101
DRB48,OUT045,685.7363693
FDR21,OUT018,2528.084245
NCE42,OUT010,1807.277431
FDO23,OUT046,1542.531635
NCE30,OUT018,3047.140397
FDQ22,OUT035,815.3777616
FDY01,OUT045,1797.421368
FDS08,OUT017,2920.263588
FDG28,OUT018,3601.851595
FDQ51,OUT018,571.5754109
FDB05,OUT017,3909.402912
FDO56,OUT049,2023.458454
FDE02,OUT018,1262.011454
FDN45,OUT017,3585.432737
FDS09,OUT013,804.1273906
NCA54,OUT018,2601.368864
FDP09,OUT010,1479.175616
FDC53,OUT045,1542.33417
NCM55,OUT017,3034.271488
FDL09,OUT018,2430.620914
FDA11,OUT019,386.7084252
FDA50,OUT045,1421.418776
FDC23,OUT017,2993.806775
FDE22,OUT049,2632.807573
FDD23,OUT046,3066.422637
NCA29,OUT049,2816.285862
FDK38,OUT046,2374.739293
DRC13,OUT046,2069.021393
NCP43,OUT049,2946.842966
FDX28,OUT049,1619.803347
FDF08,OUT049,1607.385344
FDZ33,OUT046,2391.478046
FDD10,OUT049,2911.7353
FDO58,OUT017,2688.221507
FDI50,OUT017,3749.105429
FDO58,OUT045,2618.935676
FDX08,OUT013,2922.235118
NCK17,OUT010,1221.953188
FDF39,OUT035,4260.48314
FDU45,OUT010,50.18231441
NCJ18,OUT018,1551.01772
DRC27,OUT019,1869.614989
DRC25,OUT035,1599.398549
FDU59,OUT035,2718.167902
FDU28,OUT035,3181.603196
NCP30,OUT046,737.0652961
FDB39,OUT018,607.047746
FDE41,OUT013,1398.589105
DRH11,OUT010,1014.546493
FDA58,OUT045,3658.775587
FDU50,OUT046,1830.664826
FDM34,OUT013,2096.147427
FDM44,OUT027,3113.848609
FDR39,OUT045,2830.722046
FDM25,OUT045,2757.371075
FDQ49,OUT049,2610.285436
DRH25,OUT018,700.9520391
FDM09,OUT027,4188.173722
FDL44,OUT019,691.5653452
NCR42,OUT018,295.5098129
DRL59,OUT046,917.3010298
FDX43,OUT013,2689.178328
DRK47,OUT010,1620.69385
FDU48,OUT018,1876.177688
FDY12,OUT045,821.812042
NCN43,OUT018,1727.795319
NCM55,OUT018,2650.403292
FDQ21,OUT027,3464.51295
FDX13,OUT035,4110.474642
NCK30,OUT027,5379.206051
FDG20,OUT049,2896.748044
DRG27,OUT017,683.7347396
FDY14,OUT018,3812.646932
FDP59,OUT035,1893.053569
FDU60,OUT017,2854.786285
NCC18,OUT019,669.3467636
DRJ39,OUT017,3475.335155
FDS07,OUT049,1892.449515
FDM08,OUT027,5018.104548
FDP51,OUT045,1874.018722
FDU16,OUT035,1495.313538
FDH12,OUT013,1735.039232
DRE48,OUT010,1261.668208
